Q178776,Weißes Kaninchen
Q185737,Bilbo Beutlin
Q3844557,Feuerfresser
Q4235896,Matroskin
Q14076726,Carabas Barabas
Q55012004,Prinz Gwidon
Q46302,Smaug
Q218728,Auenland
Q488875,Ali Baba
Q950895,Haselmaus
Q3296261,Arkenstein
Q3356368,Óin
Q3402263,Wunderland
Q3640014,Bill, die Eidechse
Q3838768,Kerzendocht
Q13376613,Die Prinzessin
Q13685096,Aschenputtel
Q15642623,Duremar
Q21411077,Dr. Archie Hopper
Q27075739,Die böse Stiefmutter
Q51077148,Rotkäppchen
Q54002293,Alices Schwester
Q55012000,König Dodon
Q1237652,Der Riesenhai
Q3921991,Der Prinz
Q6926011,Maus
Q7679809,Die sprechende Grille
Q26902956,Vater William
Q28016519,Gerda
Q46289,Düsterwald
Q611295,Die böse Königin
Q1263672,Greif
Q1660555,Malefiz
Q1770917,Briefträger Petschkin
Q2587090,Der Märzhase
Q3615077,Die bösen Stiefschwestern
Q5238309,Herzbube
Q15642621,Tortilla
Q28016507,Kay
Q28146060,Der Kater
Q54998450,Der Astrologe
Q46285,Thorin Eichenschild
Q430315,Die Herzogin
Q746840,Thranduil
Q864751,Der Hutmacher
Q1810078,Burattino
Q1856621,Drei kleine Schweinchen
Q2325524,Dodo
Q3740047,Gute Fee
Q4235893,Basilio
Q4344596,Papa Carlo
Q5325395,Adlerjunge
Q6502703,Pinocchio
Q7738154,Uwe Tangbart
Q15605357,Aladin
Q20001661,Regina Mills
Q27778145,die junge Fee
Q28016528,Die Schneekönigin
Q54512010,Dornröschen
Q54998453,Die Königin von Schemacha
Q54998464,Chor
Q15007,Gollum
Q37085,Salomo
Q188574,Pu der Bär
Q216445,Scheherazade
Q1269082,Alice
Q2668352,Schildkrötensupperich
Q4381521,Prostokwaschino
Q4395118,Ente
Q4520517,Scharik
Q14828573,Papagei
Q15637327,Artemon
Q26902936,Dinah
Q122018,Sindbad
Q177499,Gandalf
Q208426,Elrond
Q639184,Die 7 Zwerge
Q919407,Karabossa
Q934013,Grinsekatze
Q1282345,Raupe
Q1799013,I-Aah
Q2630981,Hobbingen
Q3316115,Zauberspiegel
Q4279388,Malwina
Q14153484,Schneewittchen
Q15642640,Giuseppe
Q21233426,Mary Margaret Blanchard
Q54998460,Der goldene Hahn
Q55012006,Prinz Afron
Q55012027,General Polkan
Q210877,Arda
Q324433,Herzkönigin
Q1234609,Anduin
Q1428120,Geppetto
Q2367867,Der große böse Wolf
Q3511707,Sœur Anne
Q3649320,Jäger
Q3820836,Die Fee mit den dunkelblauen Haaren
Q4172466,Onkel Fjodor
Q4263017,Alice
Q6412246,Herzkönig
Q13403064,Der Prinz
Q28146055,Der Fuchs
Q28540088,Onkel Remus
Q54998342,Amelfa
